text,constituency
Polytrichum pallidisetum Funck,55
Lagerstroemia indica L.,55
Stanleya elata M.E. Jones,55
Schiedea diffusa A. Gray,55
Pterogonium gracile (Hedw.) Sm.,55
Aegilops speltoides Tausch,55
Pseudocryphaea domingensis (Spreng.) W.R. Buck,55
Eriogonum umbellatum Torr. var. nevadense Gandog.,55
Melaleuca wilsonii F. Muell.,55
Erigeron purpuratus Greene var. purpuratus,55
Caloplaca cerina (Ehrh. ex Hedwig) Th. Fr.,55
Phaeophyscia orbicularis (Neck.) Moberg,55
Psathyrotopsis Rydb.,55
Ichnanthus pallens (Sw.) Munro ex Benth. var. pallens,55
Cryptantha micrantha (Torr.) I.M. Johnst. var. micrantha,55
Leptogium rivale Tuck.,55
Pedilanthus tithymaloides (L.) Poit. ssp. padifolius (L.) Dressler,55
Cynoglossum furcatum Wall. ex Roxb.,55
Brachythecium holzingeri (Grout) Grout,55
Pohlia cardotii (Renauld) Broth.,55
